HOUSE,PLANT_ID
GH_127,RA001_1
GH_127,RA001_2
GH_127,RA002_1
GH_127,RA002_2
GH_127,RA002_3
GH_127,RA002_4
GH_127,RA002_5
GH_127,RA002_6
GH_127,RA002_7
GH_127,RA002_8
GH_127,RA003_1
GH_127,RA003_2
GH_127,RA004_1
GH_127,RA004_2
GH_127,RA004_3
GH_127,RA004_4
GH_127,RA004_5
GH_127,RA004_6
GH_127,RA004_7
GH_127,RA004_8
GH_127,RA004_9
GH_127,RA005_1
GH_127,RA005_2
GH_127,RA005_3
GH_127,RA005_4
GH_127,RA005_5
GH_127,RA006_1
GH_127,RA006_2
GH_127,RA006_3
GH_127,RA006_4
GH_127,RA006_5
GH_127,RA006_6
GH_127,RA007_1
GH_127,RA007_2
GH_127,RA007_3
GH_127,RA007_4
GH_127,RA007_5
GH_127,RA007_6
GH_127,RA008_1
GH_127,RA008_2
GH_127,RA008_3
GH_127,RA008_4
GH_127,RA008_5
GH_127,RA008_6
GH_127,RA046_1
GH_127,RA046_2
GH_127,RA046_3
GH_127,RA046_4
GH_127,RA046_5
GH_127,RA046_6
GH_127,RA066_1
GH_127,RA066_2
GH_127,RA066_3
GH_127,RA066_4
GH_127,RA066_5
GH_127,RA066_6
GH_127,RA066_7
GH_127,RA078_1
GH_127,RA078_2
GH_127,RA078_3
GH_127,RA078_4
GH_127,RA108_1
GH_127,RA108_2
GH_127,RA108_3
GH_127,RA108_4
GH_127,RA108_5
GH_127,RA108_6
GH_127,RA162_1
